Company,Applicants,Title,Abstract,Industry,Patents_number,Prescore,Date_of_latest_publication,AI_score,Recommendation,Lead_Message,rag_cases,web_context,Website,LinkedIn
TWILIO,TWILIO INC,AUTOMATED SECURITY MONITORING OF ONLINE AGENT-CUSTOMER INTERACTIONS USING MACHINE LEARNING,"Techniques and systems are described that perform automated protection of customer data by an interaction center that supports live agent-customer interactivity. The techniques include collecting agent activity data associated with an instance of a live agent-customer interaction. The instance of the live agent-customer interaction includes access by an agent to the customer data. The techniques further include generating one or more machine learning (ML)-readable feature vectors representative of at least one pattern in the agent activity data and processing the one or more ML-readable feature vectors using one or more ML models to generate an indication that the customer data is at risk. The techniques further include causing, responsive to the indication that the customer data is at risk, one or more remedial actions to be performed by the interaction center.",Cloud Communications,1,67,2023-09-14,8,"Strong fit due to similar tech stack and industry alignment with RAG cases, particularly in AI and IoT applications. Twilio's focus on programmable communication tools aligns well with Interexy's software development services.",,[],,https://www.twilio.com,https://www.linkedin.com/company/twilio-inc/
SILICON LAB,SILICON LAB INC,MACHINE LEARNING MODEL USING COMPRESSED ACCELERATOR PROGRAMS,"A method for executing a program includes writing a program value to a corresponding accelerator program register of accelerator program registers of an accelerator circuit according to accelerator program difference information of a compiled program. The method includes executing an accelerator program by the accelerator circuit according to program values of the accelerator program registers of the accelerator circuit. In an embodiment of the method, the compiled program corresponds to a machine learning model. The machine learning model has at least one layer and an embodiment of the method further includes searching metadata of the compiled program for compiled data associated with each layer of the machine learning model. The accelerator program difference information may be included in the metadata of the compiled program.",Semiconductors,1,67,2024-01-24,6,"While Silicon Labs operates in a relevant industry, their focus on hardware solutions and recent acquisition by Texas Instruments may limit their immediate need for software development outsourcing. There is some alignment with RAG cases, but the overall fit is not strong enough for a high score.",,[],,https://www.silabs.com,https://www.linkedin.com/company/siliconlabs
SLC,SLC CORP,System and Method for Secure-Core Silicon Mobile End-Points to Detrimne KYC and KYT,"This invention introduces a novel hybrid system that integrates Mobile Network (MN), Internet Cloud (IC), and Node Consensus (NC) components. The system leverages secure-core silicon mobile end-points to monitor mobile network data traffic, device environmental probes, and authorized user input. By analyzing mobile radio frequency data-packet patterns and capturing users' physical environment and behavior, the system creates a unique, non-duplicable pattern. This pattern is then used to sign and authorize on-chain transactions, enabling secure execution of smart legal contracts and the storage of immutable data. The software and hardware components undergo authentication before being stored on-chain.",Industrial Automation,1,67,2024-03-20,6,"Relevant industry match, but unclear outsourcing potential and no strong RAG case similarity.",,[],,https://www.vertique.com/usa,https://www.linkedin.com/company/system-logistics-corporation
FOX ROBOTICS,FOX ROBOTICS,METHOD AND SYSTEM FOR DEEP LEARNING BASED PERCEPTION,"A method and a system for deep learning-based perception are disclosed. The method includes obtaining input data using a plurality of cameras and a plurality of sensors, the input data including a plurality of images and a plurality of sensor data and training, using a machine learning algorithm, a trunk-head machine learning model. Further, the method includes generating an intermediate representation data using the trunk-head machine learning model and determining a plurality of information recognized in the intermediate representation data using the trunk-head machine learning model and based on the obtained input data. A configuration of a forklift is adjusted based on the determined plurality of information.",Industrial Automation,1,67,2024-01-11,8,Strong fit due to alignment with modern tech stack and similar RAG case (Scale AI) in AI and software development needs.,,[],,https://foxrobotics.com,https://www.linkedin.com/company/foxbots
DINKLE ENTPR CO LTD DINKLE ELECTRIC MACHINERY CHINA CO LTD LI YANG ELECTRIC MACHINERY DONGGUAN CO,DINKLE ENTPR CO LTD;;DINKLE ELECTRIC MACHINERY CHINA CO LTD;;LI YANG ELECTRIC MACHINERY DONGGUAN CO LTD,HIGH-VOLTAGE ENERGY STORAGE QUICK CONNECTOR,"A high-voltage energy storage quick connector including a socket and a plug. The socket includes a hanging platform with a convex ring located on the outer circumference of the socket. An annular slot is defined on the plug. The socket and the hanging platform are inserted in the annular slot of the plug. The plug includes an elastic hook configured in a cantilever structure on the side wall of the annular slot. The cantilever structure of the elastic hook extends axially along the plug in a free state. A hook of the elastic hook is engaged with a stepped surface of the hanging platform facing away from the plug. The plug includes an operating handle disposed along an elastic deformation direction of the elastic hook, and the operating handle is connected to the plug in a locking manner along the elastic deformation direction of the elastic hook.",Electronic & Electrical Equipment,1,67,2024-02-06,6,"Relevant industry match with some technology overlap, but unclear outsourcing potential. Consider exploring specific software development needs further.",,[],,https://www.dinkle.com,https://www.linkedin.com/company/dinkle-electric-machinery-china-co-ltd
IGT RENO NEV,IGT RENO NEV,SYSTEMS AND METHODS OF COMPLETELY ON DEMAND AI-GENERATED GAMES VIA PLAYER'S NATURAL LANGUAGE PROCESSING,"Embodiments of the present disclosure use generative Artificial Intelligence (AI) and Natural Language Processing (NLP) to adjust and/or create an electronic game of chance. For example, a slot player can ask a generative AI, in plain language, to generate a slot game of their design. Embodiments can generate the entire game on-the-fly, in real-time based on the player's request. Additionally, or alternatively, the game can be modified by player, on demand, by giving additional and/or adjusting input.",Gaming,1,67,2023-09-15,7,"Good fit due to alignment with modern tech stack and potential software development needs, especially in AI and gaming solutions.",,[],,https://www.igt.com/,https://www.linkedin.com/company/international-game-technology
KNOW LABS,KNOW LABS INC,SYSTEMS AND METHODS FOR TRAINING MACHINE LEARNING ALGORITHMS FOR ANALYTE DETECTION,"A machine learning algorithm can be trained to process signals received from a non-invasive sensor to determine an analyte. The machine learning algorithm can be a neural network trained using data obtained from the non-invasive sensor and associated analyte detection results from another sensor. The features of the data can be smoothed using a Savitzky-Golay filter, scaled, and the feature space can also be reduced, such as by Gaussian random projection. The training of the algorithm can be tested using other data obtained from the non-invasive sensor and associated analyte detection results from another sensor. Once trained, the machine learning model is used to determine levels of an analyte from signals received at a non-invasive sensor in response to transmission of a transmit signal into a subject.",Medical Device,1,67,2024-02-23,6,"Know Labs is a relevant player in the healthcare sector with a focus on innovative medical devices. However, their technology and development needs do not strongly align with Interexy's software development services, as they appear to be more focused on hardware and proprietary technology. The potential for software development services is limited.",,[],,https://www.knowlabs.co/,https://www.linkedin.com/company/knowlabsinc
SHENZHEN NEEWER TECHNOLOGY CO,SHENZHEN NEEWER TECHNOLOGY CO LTD,WEARABLE APPLIANCE FOR CARRYING MOBILE DEVICE,Disclosed is a wearable appliance for carrying a mobile device. The wearable appliance includes a flexible strip and a mounting assembly connected to the flexible strip. The flexible strip is configured to encircle a user's neck and is capable of deforming to a shape when subjected to an external force and maintaining the shape of the flexible strip when the external force is removed. The mounting assembly is configured to fix the mobile device.,Photography,1,67,2023-10-20,4,Maybe; relevant industry but unclear outsourcing potential for software development.,,[],,https://neewer.com,https://www.linkedin.com/company/neewer
NIKE,NIKE INC,SYSTEMS AND METHODS FOR PROVIDING CONSUMER INTERACTIONS WITH CUSTODIAL DIGITAL WALLET SERVICES FOR BLOCKCHAIN-ENABLED DIGITAL ASSETS,"Presented are computing systems for regulating the custody and transfer of digital assets, methods for making/using such systems, and memory-stored, computer-readable instructions for provisioning such systems. A method for governing control of digital assets includes a host platform's server receiving, from a user's personal computing device, a request to transfer a cryptographic digital asset from a custodial wallet provisioned by a third-party wallet platform. In response, the host server receives, from the third-party wallet platform's server, an encrypted private key enabling access to the custodial wallet. The private key is decrypted and used to create an encrypted transfer request by generating a transfer request to transfer the cryptographic digital asset from the custodial wallet to a new digital wallet and encrypting the transfer request. The host server transmits, to the third-party server using the encrypted transfer request, a transfer order to transfer the cryptographic digital to the new digital wallet.",Fintech,1,67,2024-02-19,6,"Potential fit due to involvement in blockchain and digital wallet services, but lacks a strong match to existing RAG cases and clear outsourcing needs.",,[],,,
OUTDOOR WIRELESS NETWORKS,OUTDOOR WIRELESS NETWORKS LLC,Systems and methods for machine learning based dynamic selection of dual connectivity or carrier aggregation,"Systems and methods for machine learning based dynamic selection of dual connectivity or carrier aggregation are provided. In an example, a system includes BBU(s), RU(s) communicatively coupled to the BBU(s), and antenna(s) communicatively coupled to the RU(s). Each respective RU of the RU(s) is communicatively coupled to a respective subset of the antenna(s). The BBU(s), the RU(s), and the antenna(s) are configured to implement a base station for wirelessly communicating with user equipment. The system further includes a machine learning computing system configured to receive time data and traffic data, and determine a predicted mode of operation for a UE based on the time data and the traffic data. Component(s) of the system are configured to receive a request from the UE, and dynamically select a dual connectivity mode or a carrier aggregation mode for operation of the UE based on the predicted mode of operation for the UE.",None,1,67,2023-07-10,1,No fit; company is newly established with no clear software development needs or technology stack.,,[],,,
MILWAUKEE ELECTRIC TOOL,MILWAUKEE ELECTRIC TOOL CORP,POWER TOOL IMPLEMENTING MACHINE LEARNING TO CONTROL THE POWER TOOL,"A power tool (500) includes a housing and a sensor (530), a machine learning controller (540), a motor (505), and an electronic controller (550) supported by the housing. The sensor is configured to generate sensor data indicative of an operational parameter of the power tool. The electronic controller includes an electronic processor (550) and a memory. The memory includes a machine learning control program. The electronic controller is configured to receive the sensor data. The sensor data includes a motor speed of the motor, a motor current of the motor, and a motion characteristic of the power tool. The electronic controller is configured to process the sensor data using the machine learning control program and generate an output based on the sensor data. The output can include an identified type of application that is being performed by the power tool.",Manufacturing,1,66,2025-01-20,6,"While Milwaukee Electric Tool operates in manufacturing, their focus on power tools and accessories may not align closely with software development needs. However, their investment in AI and IoT indicates some potential for software solutions. The lack of strong RAG case similarity suggests a cautious approach.",,[],,https://www.milwaukeetool.com,https://www.linkedin.com/company/milwaukee-tool
AUTOMAISE S A,AUTOMAISE S A,METHOD AND SYSTEM FOR SELF-ADAPTIVE RECURRENT MACHINE-LEARNING PROCESSING UNDER A MULTI-TASK OBJECTIVE,The present disclosure relates to a computer-implemented method and system for self-adaptive recurrent machine-learning processing of a tabular dataset under a multi-task objective comprising a decision task and a concept-based explanation task.,IT Services and IT Consulting,1,66,2024-12-31,6,"Automaise is a relevant player in the AI space, but their focus on customer service automation may not align closely with software development outsourcing needs. While there is some similarity in technology, the lack of a strong match to RAG cases and their moderate revenue suggests they may not be a prime candidate for our services.",,[],,https://www.automaise.com/,https://www.linkedin.com/company/automaise/
VOLVO TRUCK,VOLVO TRUCK CORP,MACHINE LEARNING-BASED VIRTUAL EXHAUST GAS SENSOR FOR A COMBUSTION ENGINE,"A computer system (100) for implementing a virtual exhaust gas sensor for an internal combustion engine (120) is provided, including processing circuitry (110) configured to: obtain a set of one or more input features, including at least torque for the engine for a first time instance; obtain a set of one or more derived features, indicative of at least change of torque for the engine during one or more different time intervals leading up to the first time instance, and obtain an estimated exhaust gas value 150 for the engine, by using the obtained set of one or more input features and the set of one or more derived features as input features to a machine learning (ML) model (112) that has been trained to estimate the exhaust gas value based on such input features. A system for training the ML model, vehicle, computer program products, etc., are also provided.",Automotive Manufacturing,1,66,2024-10-01,6,"Volvo Trucks is integrating advanced technologies and has a modern tech stack, but there is no strong RAG case match. Potential for software development services exists, but clarity on specific needs is required.",,[],,https://www.volvotrucks.com,https://www.linkedin.com/company/volvo-trucks
BARBULESCU CRISTIAN MR BARBULESCU DAN CRISTIAN MR BARBULESCU DAVID IOAN MR BARBULESCU NINETA MRS BARBULESCU TUDOR MR BARBULESCU VICTOR MR,BARBULESCU CRISTIAN MR;;BARBULESCU DAN CRISTIAN MR;;BARBULESCU DAVID IOAN MR;;BARBULESCU NINETA MRS;;BARBULESCU TUDOR MR;;BARBULESCU VICTOR MR,"Advanced Floating Powerhouse with Expandable Solar and Wind Arrays, an Articulated Siphon Turbine for Scalable Pumped Hydro Energy Storage, Desilting, Flood Mitigation, and Water Treatment, operated by AI-driven algorithms synchronized with Weather and Grid Demands, Utilizing HaLow Wi-Fi Sensors, by powering 24/7 modular liquid-cooled submerged datacenter, designed for servicing a lake .","TITLE OF THE INVENTION Advanced Floating Powerhouse with Expandable Solar and Wind Arrays, an Articulated Siphon Turbine for Scalable Pumped Hydro Energy Storage, Desilting, Flood Mitigation, and Water Treatment, Operated by AI-Driven Algorithms Synchronized with Weather and Grid Demands, Utilizing HaLow Wi-Fi Sensors, and Powering Modular Liquid-Cooled Submerged Datacenters for Lake Servicing. The invention provides a scalable modular floating powerhouse system integrating solar and wind energy arrays, an articulated siphon turbine with dual-mode operation, and inflatable dams for enhanced pumped hydro energy storage and water management. AI-driven algorithms, utilizing machine learning models such as neural networks for pattern recognition and reinforcement learning for adaptive decision-making, synchronized with real-time environmental and grid demand data from HaLow Wi-Fi sensors, enable predictive flood mitigation. These algorithms dynamically adjust system parameters, preemptively deploy resources based on simulations of flooding scenarios, and optimize energy usage through real-time load balancing. The system ensures continuous renewable energy utilization for powering modular liquid-cooled submerged data centers and operates efficiently within existing grid infrastructures, addressing scalability, intermittency, and environmental sustainability challenges. TITLE OF THE INVENTION Advanced Floating Powerhouse with Expandable Solar and Wind Arrays, an Articulated Siphon Turbine for Scalable Pumped Hydro Energy Storage, Desilting, Flood Mitigation, and Water Treatment, Operated by Al-Driven Algorithms Synchronized with Weather and Grid Demands, Utilizing HaLow Wi-Fi Sensors, and Powering Modular Liquid-Cooled Submerged Datacenters for Lake Servicing. The invention provides a scalable modular floating powerhouse system integrating solar and wind energy arrays, an articulated siphon turbine with dual-mode operation, and inflatable dams for enhanced pumped hydro en",None,1,66,2025-01-07,1,"Individual inventor, not a company target.",,[],,,
RYZEE,RYZEE INC,GPU-BASED EDGE SERVER AND FARM MANAGEMENT PLATFORM FOR OPTIMIZED RESOURCE UTILIZATION AND WORKFLOW MANAGEMENT,"A platform for managing controlled environment agriculture farms provides hardware and software components with the principal component being an edge server. The edge server stores and processes local data, serves as a central node to a mesh network of IoT devices, and an entry point for the farm's data to be reached via internet. Secondary components include the IoT devices used for sensing and controls and a combination of mobile and web applications. These applications present utilization-based planning models that assist with tracking crops, assets, and tasks in a farm. In its entirety, the farm management platform is designed to increase and improve tracking of farm assets and traceability of food, reduce labor costs, and reduce costs to farmers.",Real Estate Consulting,1,65,2025-02-07,5,"Relevant industry match, but unclear outsourcing potential for software development services.",,[],,https://ryze.eu,https://www.linkedin.com/company/ryze-superfoods
YAHOO ASSETS,YAHOO ASSETS LLC,SYSTEMS AND METHODS FOR IMAGE COMPOSITING VIA MACHINE LEARNING,"In some implementations, the techniques described herein relate to a method including: (i) training, by a processor, a machine learning model to create composite images from background scenes and foreground objects, (ii) identifying, by the processor, a digital image file that comprises a background scene and an additional digital image file that comprises a foreground object, (iii) compositing, by the machine learning model executed by the processor, the digital image file that comprises the background scene and the additional digital image file that comprises the foreground object to produce a composite digital image file that comprises the foreground object and the background scene by performing at least one of a channel concatenation step and a reverse diffusion sampling step, and (iv) causing display, by the processor, of the composite image file that comprises the foreground object and the background scene. In some implementations, the techniques described herein relate to a method including: identifying, by a processor, a digital image file that includes a background scene and an additional digital image file that includes a foreground object; compositing, by a machine learning model executed by the processor, the digital image file and the additional digital image file to produce a composite digital image file that includes the foreground object placed in front of the background scene by: identifying a location within the background scene in the digital image file for placement of the foreground object from the additional digital image file; transforming at least one aspect of the foreground object to harmonize with the background scene; and creating a composite image file that includes the harmonized foreground object in the location within the background scene; causing display, by the processor, of the composite image file.",Media and Advertising Technology,2,65,2025-03-06,8,"Yahoo has a strong alignment with our services, particularly in AI and software development, making it a good fit for potential collaboration.",,[],,https://www.yahoo.com,https://www.linkedin.com/company/yahoo
BEIJING ZITIAO NETWORK TECHNOLOGY CO LTD LEMON,BEIJING ZITIAO NETWORK TECHNOLOGY CO LTD;;LEMON INC,IMPROVING SPEECH RECOGNITION BY A MACHINE LEARNING MODEL,"The present disclosure describes techniques for improving speech recognition using a machine learning model. The machine learning model comprises a speech encoder configured to generate acoustic representations based on input speech, an adapter configured to generate adapted representations based on the acoustic representations, and a decoder configured to generate text corresponding to the input speech. A matching loss is applied during training the machine learning model. The matching loss is configured to explicitly force acoustic representations generated by the adapter to align with text embeddings. The machine learning model is fine-tuned by employing parameter-efficient low-rank adaptation. The machine learning model is trained to perform automatic speech recognition with performance improvement and parameter efficiency.",Other technical promotion services,1,65,2024-05-17,6,"Relevant industry and basic tech match, but unclear outsourcing potential. No strong RAG matches.",,[],,https://semi.design,
RO5,RO5 INC,System and method for feedback-driven automated drug discovery || SYSTEM AND METHOD FOR FEEDBACK-DRIVEN AUTOMATED DRUG DISCOVERY,"A system and method for feedback-driven automated drug discovery which combines machine learning algorithms with automated research facilities and equipment to make the process of drug discovery more data driven and less reliant on intuitive decision-making by experts. In an embodiment, the system comprises automated research equipment configured to perform automated assays of chemical compounds, a data platform comprising drug databases and an analysis engine, a bioactivity and de novo modules operating on the data platform, and a retrosynthesis system operating on the drug discovery platform, all configured in a feedback loop that drives drug discovery by using the outcome of assays performed on the automated research equipment to feed the bioactivity module and retrosynthesis systems, which identify new molecules for testing by the automated research equipment.",Biotechnology,2,65,2025-03-10,8,"Strong fit due to the focus on AI-driven solutions in drug discovery, similar to RAG case Seclea which also operates in AI. Ro5's need for senior developers aligns with Interexy's offerings.",,[],,https://www.ro5.ai,https://www.linkedin.com/company/ro5
BANPU INNOVATION AND VENTURES,BANPU INNOVATION & VENTURES LLC,EV CHARGING STATION - DRIVEN TECHNIQUES FOR OPTIMAL VPP ENERGY MANAGEMENT || ENERGY STORAGE CONTROL METHODS FOR OPTIMAL VPP ENERGY MANAGEMENT || Method and system for predicting real plant dynamics performance in green energy generation utilizing physics and artificial neural network models,"A method of operating a virtual power plant (VPP) controller, that manages an electric vehicle (EV) charging station connected to a power grid, a battery storage system, and an independent power plant, includes: obtaining a first data set including time-series information for each of power usage of the EV charging station, power output of the independent power plant, power output capacity of the power grid, and state of charge (SOC) of the battery storage system; training, using the first data set and a machine learning (ML) algorithm, a ML model that determines one or more parameters of an energy management system (EMS) policy comprising a linear parameter-varying (LPV) model; obtaining a second data set of power condition; determining, by inputting the second data set into the ML model, the one or more parameters of the EMS policy; transmitting a command based on the EMS policy. A method of operating a virtual power plant controller, that manages a power consumer connected to a power grid, a battery storage system, and an independent power plant, includes: obtaining a first data set including time-series information for each of power usage of the power consumer, power output of the independent power plant, power output capacity of the power grid, and state of charge of the battery storage system; training a machine learning (ML) model based on the time-series information using a ML algorithm, the ML model determines one or more parameters of an energy management system (EMS) policy to satisfy a power demand of the power consumer over a predetermined horizon; obtaining a second data set including power availability information; determining the one or more parameters of the EMS policy by inputting the second data set into the ML model; transmitting a command based on the EMS policy. A method of managing a well system includes: obtaining, by a digital twin manager and based on a predetermined monitoring criterion, dynamics behavior data of the well system, where the ",Energy,5,65,2023-08-31,7,"Good fit due to alignment with energy sector and technology needs, with potential for software development services in AI and energy management.",,[],,https://www.banpu.com,https://www.linkedin.com/company/banpu
BARCLAYS SERVICES,BARCLAYS SERVICES CORP,TECHNIQUES FOR APPLYING PREDICTIVE ANALYTICS TO USAGE DATA IN AN EVENT-DRIVEN ARCHITECTURE,"Techniques for applying predictive analytics to usage data in an event-driven architecture comprise systems, methods and storage mediums. A system having an event-driven architecture that facilitates proactive engagement with a customer over a network may comprise a memory storing instructions, a data storage that stores prompt data of one or more customer actions, and one or more processors. The one or more processors may execute the instructions to receive customer input data from the customer, provide the customer input data to a streaming inference engine that identifies one or more customer usage patterns, generate a customer servicing model based on the one or more customer usage patterns and the prompt data, store the customer servicing model in the data storage, provide an output to the customer based on the customer servicing model, and continuously update the customer servicing model stored in the data storage.",Financial Services,1,65,2024-07-31,8,Strong fit due to alignment with modern tech stack and ongoing digital transformation initiatives. Similarities with Deutsche Bank case in investment banking and complex financial services indicate potential for software development services.,,[],,https://home.barclays,https://www.linkedin.com/company/barclays
JUNIPER NETWORKS,JUNIPER NETWORKS INC,MACHINE LEARNING-BASED BAD CABLE DETECTION || APPLICATION AND TRAFFIC AWARE MACHINE LEARNING-BASED POWER MANAGER,"Example systems, devices, and techniques are described for inferring a potential bad cable issue associated with a cable. An example system includes processing circuitry configured to determine a class of a cable associated with one of a plurality of network interfaces. The processing circuitry is configured to select, based on the class of the cable, a first machine learning model of a plurality of machine learning models. The processing circuitry is configured to determine, based on the class of the cable and the one of the plurality of network interfaces, a first feature set of the performance data. The processing circuitry is configured to execute the first machine learning model to infer, based on the first feature set, a potential bad cable issue associated with the cable and output an indication of the potential bad cable issue associated with the cable. Example systems and techniques are disclosed for power management. An example system includes one or more memories and one or more processors. The one or more processors are configured to obtain workload metrics from a plurality of nodes of a cluster. The one or more processors are configured to obtain network function metrics from the plurality of nodes of the cluster. The one or more processors are configured to execute at least one machine learning model to predict a corresponding measure of criticality of traffic of each node. The one or more processors are configured to determine, based on the corresponding measure of criticality of traffic of each node, a corresponding power mode for at least one processing core of each node. The one or more processors are configured to recommend or apply the corresponding power mode to the at least one processing core of each node.","Semiconductors, Electronics, Electrical Engineering",2,65,2024-06-28,5,"Maybe. Juniper Networks operates in a relevant industry and has a modern tech stack, but there is no strong similarity to RAG cases. Their focus on AI-driven networking solutions may not align closely with software development outsourcing needs.",,[],,https://www.juniper.net,https://www.linkedin.com/company/juniper-networks
HINDSIGHT VIP,HINDSIGHT VIP INC,Systems and methods to train and/or utilize machine learning to classify smart contracts in transactions recorded in immutable distributed electronic storage,"Systems and methods to train and/or utilize a machine learning model to classify smart contracts in transactions recorded on a transaction log stored in immutable distributed electronic storage, are described herein. Exemplary implementations may: obtain transaction information characterizing transactions recorded on a transaction log stored in immutable distributed electronic storage; obtain classification information identifying contract classes of the transactions; aggregate transaction information and classification information into model training information; provide the model training information to a machine learning model to train the machine learning model and generate a trained machine learning model; and/or perform other operations. Exemplary implementations may: provide transaction information of new transactions as input into a trained machine learning model; obtain output from the trained machine learning model; generate, from the output, classification information including contract classes of the new transactions; and/or perform other operations.",Blockchain Services,1,65,2024-10-11,8,"Strong fit due to alignment with blockchain technology and AI integration, similar to RAG cases. Potential for software development services in enhancing their product suite.",,[],,https://hindsight.vip,https://www.linkedin.com/company/hindsightvip-inc
JINING HUAYUAN HEAT POWER CO,JINING HUAYUAN HEAT POWER CO LTD,Frequency modulation method and system for thermal power unit coupled with molten salt energy storage,"A frequency modulation method and system for a thermal power unit coupled with molten salt energy storage are provided. The method includes: decomposing the power grid frequency modulation response demand by VMD algorithm to obtain residual components and a plurality of modal components; calculating adjacent aliasing degrees of all the modal components, and dividing a high frequency modal component group and a low frequency modal component group based on an adjacent aliasing degree minimum value; if the high frequency modal component group only includes one modal component, equally dividing the residual components and the plurality of modal components into a high frequency group and a low frequency group according to central frequencies, and performing a plurality of fusion methods on modal components in the high frequency group to obtain different fused components.",Power Generation,1,65,2025-05-15,5,"Relevant industry match, but unclear outsourcing potential and no strong similarity to RAG cases.",,[],,https://www.wastetoenergypyrolysis.com/about-us/,
CRYSTAL COMPUTING,CRYSTAL COMPUTING CORP,Machine learning architectures with sub-quadratic iterator modules,"Technology that includes receiving one or more inputs representative of an input sequence, and passing the one or more inputs sequentially through a plurality of modules of a machine learning model. Each module of the plurality of modules includes weights used for processing the one or more inputs to generate one or more outputs, and at least one of the plurality of modules is an iterator module that feeds back intermediate outputs of the iterator module as inputs to itself one or more times before passing an iterated output to a subsequent module of the plurality of modules. The iterator module has a sub-quadratic computational complexity in relation to a length of the input sequence. The technology also includes outputting the one or more outputs generated by a final module of the plurality of modules.",Technology,1,65,2024-07-23,7,"Crystal Computing is a good fit for software development services due to its focus on AI integration and custom software solutions, which aligns with Interexy's expertise. The company's active engagement and growth metrics suggest a potential need for additional development resources.",,[],,https://crystalcomputing.ai,https://www.linkedin.com/company/crystalcomputing
LAT ENTPR,LAT ENTPR INC,Wearable and lightweight portable power case,"Systems, methods, and articles for a wearable and lightweight portable power case are disclosed. The portable power case is comprised of a cylindrical housing, at least two battery elements connected to a printed circuit board (PCB), and at least one separating barrier between the at least two batteries and the PCB. The portable power case is operable to supply power to an amplifier, a radio, a wearable battery, a mobile phone, a tablet, a portable satellite dish and/or any other power consuming device. The portable power case is operable to be charged using solar panels, vehicle batteries, AC adapters, non-rechargeable batteries, and/or generators.",Aerospace & Defense,1,65,2025-03-25,6,"While Latécoère operates in a relevant industry, their focus on advanced manufacturing and aerostructures suggests limited immediate need for software development services. The tech stack does not align closely with modern software development technologies like Python or AI, and there are no strong RAG case matches indicating a clear outsourcing potential.",,[],,https://www.latecoere.aero,https://www.linkedin.com/company/latecoere
DEEPSEE AI,DEEPSEE AI INC,EXTENSIBLE DATA OBJECTS FOR USE IN MACHINE LEARNING MODELS,Systems and methods are described herein for creating a data object for each of a plurality of imported unstructured data files. Each data object may expressly include one of the unstructured data files. Preprocessing subsystems and/or machine learning algorithms and subsystems process the data to generate or otherwise identify structured insight features. The system updates each data object to expressly include the structured insight features.,Software Development,1,65,2024-09-30,8,"DeepSee.ai is a strong fit for our software development services due to its focus on AI-driven solutions in the financial services industry, aligning well with our expertise in modern tech stacks and outstaffing capabilities.",,[],,https://www.deepsee.ai,https://www.linkedin.com/company/deepsee
MEDEANALYTICS,MEDEANALYTICS INC,ANOMALY DETECTION AND PERFORMANCE ASSESSMENT USING A PROVIDER PERFORMANCE INDEX,"Disclosed herein are system, method, and computer program product embodiments for creating and utilizing machine learning models to generate a provider performance index. In some embodiments, a first and second target may be selected. The first and second targets may respectfully include target values. First and second adjusted target values may be determined by combining the first and second target values with first and second external weights. The external weights may be generated by respective first and second machine learning models. The machine learning models may correspond to the respective targets. First and second error values may be determined based on differences between respective target and adjusted target values. The error values may be normalized and combined to generate an index value.",Healthcare Analytics,1,65,2024-08-30,6,"MedeAnalytics operates in a relevant industry with a strong focus on AI-driven solutions, but their size and funding level suggest they may not be a fit for our services. The lack of a clear match with RAG cases also limits the potential for collaboration.",,[],,https://medeanalytics.com/,https://www.linkedin.com/company/medeanalytics-inc
CIENA,CIENA CORP,Automated Discovery of Network Inventory From Raw Configuration Files Using Machine Learning,"An automated network inventory discovery method, including: at a network inventory discovery engine coupled to a network data source, receiving unstructured network configuration data associated with a network element (NE); and, using a trained machine learning (ML) model, parsing named entity attributes from text of the unstructured network configuration data and mapping the named entity attributes to a common information model having a predetermined data structure. The trained ML model includes a trained named entity recognition (NER) model and/or a trained large language model (LLM). Alternatively, the trained ML model includes a trained NER model that is used to pre-process the text of the unstructured network configuration data prior to feeding resulting data into a trained LLM. The trained ML model serves the function of a custom parser script that is specific to one or more of the unstructured network configuration data or the network data source.",Networking Systems & Software,1,65,2024-05-29,6,"Ciena has a strong focus on high-speed connectivity and AI integration, but there is no direct match to RAG cases in terms of specific software development needs. While they operate in a relevant industry, their size and established market position may limit the potential for outsourcing software development services.",,[],,https://www.ciena.com,https://www.linkedin.com/company/ciena
O9SOLUTIONS INC O9 SOLUTIONS,O9SOLUTIONS INC;;O9 SOLUTIONS INC,Distributed data processing and machine learning workload scaling,"Systems and techniques may generally be used for streamlining a deployment and scaling of data processing and machine learning workloads on a distributed system. An example method may include receiving, from a user at a user interface, a plugin command, an input including a name key and a query, and a driver code including a code package. The method may include filtering the query based on a scope of the plugin command, obtaining input data by querying an input measure group, and slicing the obtained input data into one or more slices based on the slicing key. The method may include determining a number of containers to be used, and assigning at least one slice for each container. The method may include executing at each container the respective assigned at least one slice, generating an output for each input, and storing each output at a respective output measure group.",Software Development,1,65,2024-10-01,6,"While o9 Solutions operates in a relevant industry and utilizes advanced technologies, their scale and funding suggest they may not require outstaffing services. The lack of a strong match to RAG cases further limits the potential for collaboration.",,[],,https://www.o9solutions.com,https://www.linkedin.com/company/o9solutions
